0.53158		0.00017441
1.29082		0.000167291
2.05006		0.000175597
2.8093		0.000160173
3.56854		0.000169664
4.32778		0.000175003
5.08702		0.000170851
5.84626		0.000137037
6.6055		0.000143562
7.36474		0.000133477
8.12398		0.000137037
8.88322		0.000138816
9.64246		0.000129325
10.4017		0.000124579
11.1609		0.000127545
11.9202		0.000131698
12.6794		0.000125172
13.4387		0.000114494
14.1979		0.000112121
14.9571		0.000103222
15.7164		0.000104409
16.4756		9.49171e-05
17.2349		8.83916e-05
17.9941		8.00863e-05
18.7533		8.30525e-05
19.5126		7.83066e-05
20.2718		8.1866e-05
21.0311		7.4154e-05
21.7903		8.06796e-05
22.5495		7.47472e-05
23.3088		8.54254e-05
24.068		7.83066e-05
24.8273		8.12728e-05
25.5865		6.6442e-05
26.3457		9.01713e-05
27.105		6.94082e-05
27.8642		7.23743e-05
28.6235		7.59337e-05
29.3827		6.11029e-05
30.1419		6.76285e-05
30.9012		5.99164e-05
31.6604		7.35608e-05
32.4197		5.69503e-05
33.1789		7.05946e-05
33.9381		5.75435e-05
34.6974		5.81367e-05
35.4566		6.6442e-05
36.2159		7.53405e-05
36.9751		6.52555e-05
37.7343		8.36457e-05
38.4936		8.00863e-05
39.2528		9.37307e-05
40.0121		9.49171e-05
40.7713		9.49171e-05
41.5305		0.000106782
42.2898		0.00011568
43.049		0.00013585
43.8083		0.000165512
44.5675		0.000180343
45.3267		0.000201106
46.086		0.00021653
46.8452		0.000242632
47.6045		0.000274666
48.3637		0.000288904
49.1229		0.000355939
49.8822		0.000376109
50.6414		0.000405178
51.4007		0.000487043
52.1599		0.000538061
52.9191		0.000590859
53.6784		0.000672725
54.4376		0.000714845
55.1969		0.00079849
55.9561		0.000862559
56.7153		0.000924256
57.4746		0.00101383
58.2338		0.00111765
58.9931		0.00114316
59.7523		0.0012624
60.5115		0.00136028
61.2708		0.00139291
62.03		0.00150384
62.7893		0.00155486
63.5485		0.00167885
64.3077		0.0017791
65.067		0.00179453
65.8262		0.0019375
66.5855		0.00200809
67.3447		0.00204784
68.1039		0.0022264
68.8632		0.00219081
69.6224		0.00226259
70.3817		0.00233615
71.1409		0.00246725
71.9001		0.00242751
72.6594		0.0024542
73.4186		0.00255802
74.1779		0.00261319
74.9371		0.00268675
75.6963		0.0026037
76.4556		0.00265412
77.2148		0.00274014
77.9741		0.00272294
78.7333		0.00274192
79.4925		0.00265471
80.2518		0.00284455
81.011		0.00279056
81.7703		0.002787
82.5295		0.00276683
83.2887		0.00274607
84.048		0.0027431
84.8072		0.00288785
85.5665		0.00273302
86.3257		0.00281192
87.0849		0.0028665
87.8442		0.0028659
88.6034		0.002717
89.3627		0.00284099
90.1219		0.00288607
90.8811		0.00285285
91.6404		0.00284158
92.3996		0.00285582
93.1589		0.00291455
93.9181		0.00282794
94.6773		0.00291277
95.4366		0.00281607
96.1958		0.00292879
96.9551		0.00287896
97.7143		0.00289972
98.4735		0.00290031
99.2328		0.00289082
99.992		0.0029365
100.751		0.00293769
101.51		0.00293531
102.27		0.00288073
103.029		0.0029893
103.788		0.00299048
104.547		0.00290684
105.307		0.00306048
106.066		0.00301421
106.825		0.0029537
107.584		0.00304862
108.344		0.00297506
109.103		0.00297625
109.862		0.00291692
110.621		0.00298811
111.381		0.0029887
112.14		0.00302014
112.899		0.00296853
113.658		0.00292523
114.418		0.00303379
115.177		0.00299819
115.936		0.00309904
116.695		0.00298218
117.455		0.00303023
118.214		0.00297387
118.973		0.00297565
